GAP ANALYSIS SUMMARY — AL, AR, CA, DE, KS, MD, MI, MN, MO, NC, PA, TX, VA, WA
Generated against: Alabama Sentencing Commission Presumptive Manual 2024, Arkansas Sentencing Commission Benchbook 2026, California CALCRIM 2026 (Judicial Council Jury Instructions), Delaware SENTAC Benchbook 2025, KS Sentencing Commission 2013, Maryland MSCCSP Offense Table Jan 2026, MI Sentencing Guidelines Oct 2024, Minnesota Sentencing Guidelines Aug 2025, MO Charge Code Manual Feb 2026, NC Combined Offense List Dec 2025, PA Commission on Sentencing 8th Edition 2024, Texas Legislative Council Felony Offenses 2018, Virginia Crime Code System FY17, Washington Adult Sentencing Manual Oct 2025

======================================================================
AL
======================================================================
Our entries:            129
Authoritative entries:  87
Matched:                40 (31%)
Unmatched (phantom?):   89
Missing from ours:      45
Citation mismatches:    22

UNMATCHED — charges we have with no authoritative match:
  [F] Vehicular Homicide                                 | Ala. Code § 32-5A-192 | confidence: needs_review
  [F] Assault with Deadly Weapon                         | Ala. Code § 13A-6-20(a)(1) | confidence: high
  [F] Assault on Peace Officer                           | Ala. Code § 13A-6-20 | confidence: high
  [M] Menacing                                           | Ala. Code § 13A-6-23 | confidence: medium
  [F] Sexual Exploitation of Minor                       | Ala. Code § 13A-12-197 | confidence: needs_review
  [F] Grand Theft in the First Degree                    | Ala. Code § 13A-8-3 | confidence: medium
  [F] Grand Theft in the Second Degree                   | Ala. Code § 13A-8-4 | confidence: medium
  [M] Petty Theft                                        | Ala. Code § 13A-8-5 | confidence: high
  [M] Theft by Receiving                                 | Ala. Code § 13A-8-16 | confidence: medium
  [F] Identity Theft                                     | Ala. Code § 13A-8-192 | confidence: medium
  [F] Credit Card Fraud                                  | Ala. Code § 13A-9-14 | confidence: medium
  [F] Embezzlement                                       | Ala. Code § 13A-9-51 | confidence: medium
  [M] Shoplifting                                        | Ala. Code § 13A-8-60 | confidence: medium
  [F] Carjacking                                         | Ala. Code § 13A-8-197 | confidence: medium
  [F] Drug Trafficking                                   | Ala. Code § 13A-12-231 | confidence: needs_review
  [F] Maintaining Drug House                             | Ala. Code § 13A-12-250 | confidence: medium
  [M] Unlawful Carrying of Weapon                        | Ala. Code § 13A-11-73 | confidence: medium
  [F] Felon in Possession of Firearm                     | Ala. Code § 13A-11-72 | confidence: medium
  [F] Discharge of Firearm in City                       | Ala. Code § 13A-11-61 | confidence: medium
  [F] Wire Fraud                                         | Ala. Code § 13A-8-2 | confidence: medium
  [F] Mail Fraud                                         | Ala. Code § 13A-9-14 | confidence: medium
  [F] Check Fraud                                        | Ala. Code § 13A-9-13.1 | confidence: medium
  [F] Insurance Fraud                                    | Ala. Code § 13A-9-44 | confidence: medium
  [F] Tax Fraud                                          | Ala. Code § 40-29-110 | confidence: medium
  [F] Computer Fraud                                     | Ala. Code § 13A-8-102 | confidence: medium
  [M] Disorderly Conduct                                 | Ala. Code § 13A-11-7 | confidence: high
  [M] Public Intoxication                                | Ala. Code § 13A-11-10 | confidence: high
  [M] Disturbing the Peace                               | Ala. Code § 13A-11-7 | confidence: medium
  [M] Trespassing                                        | Ala. Code § 13A-7-2 | confidence: high
  [M] Vandalism                                          | Ala. Code § 13A-7-29 | confidence: medium
  [M] Loitering                                          | Ala. Code § 13A-11-9 | confidence: medium
  [M] DUI First Offense                                  | Ala. Code § 32-5A-191 | confidence: needs_review
  [M] DUI Second Offense                                 | Ala. Code § 32-5A-191(b) | confidence: high
  [F] DUI Third Offense                                  | Ala. Code § 32-5A-191(c) | confidence: high
  [M] Reckless Driving                                   | Ala. Code § 32-5A-190 | confidence: medium
  [M] Hit and Run                                        | Ala. Code § 32-10-1 | confidence: medium
  [M] Driving While Suspended                            | Ala. Code § 32-6-19 | confidence: medium
  [M] Theft 4th Degree                                   | Ala. Code § 13A-8-5 | confidence: medium
  [M] DV 3rd Degree                                      | Ala. Code § 13A-6-132 | confidence: needs_review
  [M] Criminal Trespass 3rd Degree                       | Ala. Code § 13A-7-4 | confidence: medium
  [M] Criminal Mischief 3rd Degree                       | Ala. Code § 13A-7-24 | confidence: medium
  [M] Failure to Appear                                  | Ala. Code § 13A-10-39 | confidence: high
  [M] Probation Violation                                | Ala. Code § 15-22-54 | confidence: medium
  [M] Resisting Arrest / Obstruction                     | Ala. Code § 13A-10-41 | confidence: high
  [M] Violation of Protective Order                      | Ala. Code § 13A-6-142 | confidence: medium
  [M] Open Container Violation                           | Ala. Code § 32-5A-330 | confidence: needs_review
  [M] Minor in Possession of Alcohol                     | Ala. Code § 28-1-5 | confidence: medium
